name,definition,difficulty
ab,,A1
der Abend,,A1
aber,,A1
abfahren,,A1
die Abfahrt,,A1
abfliegen,,A1
der Abflug,,A1
abgeben,,A1
abholen,,A1
der Absender,,A1
acht,,A1
die Achtung,,A1
achtzehn,,A1
achtzig,,A1
die Adresse,,A1
all,,A1
alle,,A1
allein,,A1
alleine,,A1
alles,,A1
also,,A1
alt,,A1
das Alter,,A1
am,,A1
an,,A1
anbieten,,A1
ander,,A1
der Anfang,,A1
anfangen,,A1
das Angebot,,A1
anklicken,,A1
ankommen,,A1
ankreuzen,,A1
die Ankunft,,A1
anmachen,,A1
anmelden,,A1
die Anmeldung,,A1
die Anrede,,A1
der Anruf,,A1
der Anrufbeantworter,,A1
anrufen,,A1
die Ansage,,A1
der Anschluss,,A1
die Antwort,,A1
antworten,,A1
die Anzeige,,A1
anziehen,,A1
das Apartment,,A1
der Apfel,,A1
das Appartement,,A1
der Appetit,,A1
der April,,A1
die Arbeit,,A1
arbeiten,,A1
arbeitslos,,A1
der Arbeitsplatz,,A1
der Arm,,A1
der Arzt,,A1
auch,,A1
auf,,A1
auf sein,,A1
die Aufgabe,,A1
aufhören,,A1
aufstehen,,A1
der Aufzug,,A1
das Auge,,A1
der August,,A1
aus,,A1
aus sein,,A1
der Ausflug,,A1
ausfüllen,,A1
der Ausgang,,A1
die Auskunft,,A1
das Ausland,,A1
der Ausländer,,A1
ausländisch,,A1
ausmachen,,A1
die Aussage,,A1
aussehen,,A1
aussteigen,,A1
der Ausweis,,A1
ausziehen,,A1
das Auto,,A1
die Autobahn,,A1
der Automat,,A1
automatisch,,A1
das Baby,,A1
das Bad,,A1
baden,,A1
die Bahn,,A1
der Bahnhof,,A1
der Bahnsteig,,A1
bald,,A1
der Balkon,,A1
die Banane,,A1
die Bank,,A1
bar,,A1
der Bauch,,A1
der Baum,,A1
"der Beamte, die Beamte",,A1
bedeuten,,A1
beginnen,,A1
bei,,A1
beide,,A1
das Bein,,A1
das Beispiel,,A1
bekannt,,A1
"die Bekannte, der Bekannte",,A1
bekommen,,A1
benutzen,,A1
der Beruf,,A1
besetzt,,A1
besichtigen,,A1
besser,,A1
best,,A1
bestellen,,A1
besuchen,,A1
das Bett,,A1
bezahlen,,A1
das Bier,,A1
das Bild,,A1
billig,,A1
die Birne,,A1
bis,,A1
bisschen,,A1
die Bitte,,A1
bitte,,A1
bitten,,A1
bitter,,A1
blau,,A1
bleiben,,A1
der Bleistift,,A1
der Blick,,A1
die Blume,,A1
der Bogen,,A1
brauchen,,A1
braun,,A1
breit,,A1
der Brief,,A1
die Briefmarke,,A1
bringen,,A1
das Brot,,A1
der Bruder,,A1
das Brötchen,,A1
das Buch,,A1
der Buchstabe,,A1
buchstabieren,,A1
der Bus,,A1
die Butter,,A1
die Bäckerei,,A1
bös,,A1
böse,,A1
das Café,,A1
die CD,,A1
der Cent,,A1
der Chef,,A1
circa,,A1
der Computer,,A1
da,,A1
daneben,,A1
der Dank,,A1
danke,,A1
danken,,A1
dann,,A1
das,,A1
das Datum,,A1
dauern,,A1
dein,,A1
denn,,A1
der,,A1
deutsch,,A1
"die Deutsche, der Deutsche",,A1
das Deutschland,,A1
der Dezember,,A1
dich,,A1
die,,A1
der Dienstag,,A1
dir,,A1
der Doktor,,A1
der Donnerstag,,A1
das Doppelzimmer,,A1
das Dorf,,A1
dort,,A1
draußen,,A1
drei,,A1
dreizehn,,A1
dreißig,,A1
dritte,,A1
drucken,,A1
der Drucker,,A1
drücken,,A1
durch,,A1
die Durchsage,,A1
der Durst,,A1
die Dusche,,A1
duschen,,A1
dürfen,,A1
die E-Mail,,A1
die Ecke,,A1
die Ehefrau,,A1
der Ehemann,,A1
das Ei,,A1
eilig,,A1
ein,,A1
eine,,A1
einfach,,A1
der Eingang,,A1
einhundert,,A1
einkaufen,,A1
einladen,,A1
die Einladung,,A1
eins,,A1
einsteigen,,A1
eintausend,,A1
der Eintritt,,A1
das Einzelzimmer,,A1
elf,,A1
Eltern,,A1
empfehlen,,A1
der Empfänger,,A1
das Ende,,A1
enden,,A1
entschuldigen,,A1
die Entschuldigung,,A1
er,,A1
das Ergebnis,,A1
erklären,,A1
erlauben,,A1
erste,,A1
"die Erwachsene, der Erwachsene",,A1
erzählen,,A1
es,,A1
das Essen,,A1
essen,,A1
euer,,A1
der Euro,,A1
Europa,,A1
der Europäer,,A1
europäisch,,A1
fahren,,A1
der Fahrer,,A1
die Fahrkarte,,A1
das Fahrrad,,A1
falsch,,A1
die Familie,,A1
der Familienname,,A1
der Familienstand,,A1
die Farbe,,A1
das Fax,,A1
der Februar,,A1
fehlen,,A1
der Fehler,,A1
der Feierabend,,A1
feiern,,A1
der Feiertag,,A1
fernsehen,,A1
fertig,,A1
das Feuer,,A1
das Fieber,,A1
der Film,,A1
finden,,A1
die Firma,,A1
der Fisch,,A1
die Flasche,,A1
das Fleisch,,A1
fliegen,,A1
der Flughafen,,A1
das Flugzeug,,A1
das Formular,,A1
das Foto,,A1
die Frage,,A1
fragen,,A1
die Frau,,A1
frei,,A1
der Freitag,,A1
die Freizeit,,A1
fremd,,A1
freuen,,A1
der Freund,,A1
früher,,A1
