name,definition,difficulty
それ,,A1
見る,,A1
円,,A1
多い,,A1
家,,A1
これ,,A1
新しい,,A1
私,,A1
仕事,,A1
始める,,A1
なる,,A1
する,,A1
出る,,A1
使う,,A1
ところ,,A1
思う,,A1
持つ,,A1
時間,,A1
今年,,A1
知る,,A1
作る,,A1
同じ,,A1
今,,A1
続く,,A1
国,,A1
未だ,,A1
やる,,A1
言う,,A1
少ない,,A1
行く,,A1
決める,,A1
高い,,A1
考える,,A1
感じる,,A1
子供,,A1
そう,,A1
大学,,A1
もう,,A1
近く,,A1
入れる,,A1
学生,,A1
午後,,A1
長い,,A1
本,,A1
よく,,A1
彼女,,A1
聞く,,A1
どう,,A1
生きる,,A1
言葉,,A1
顔,,A1
どこ,,A1
一つ,,A1
あげる,,A1
こう,,A1
学校,,A1
くれる,,A1
起きる,,A1
春,,A1
午前,,A1
買う,,A1
別,,A1
終わる,,A1
若い,,A1
かなり,,A1
置く,,A1
住む,,A1
戻る,,A1
働く,,A1
後,,A1
先生,,A1
立つ,,A1
気,,A1
呼ぶ,,A1
もっと,,A1
帰る,,A1
気持ち,,A1
飛ぶ,,A1
車,,A1
変える,,A1
広い,,A1
分かる,,A1
数,,A1
近い,,A1
そこ,,A1
走る,,A1
売る,,A1
朝,,A1
教える,,A1
歩く,,A1
直ぐ,,A1
会う,,A1
部屋,,A1
起こる,,A1
秋,,A1
難しい,,A1
送る,,A1
死ぬ,,A1
乗る,,A1
安い,,A1
書く,,A1
話す,,A1
頭,,A1
体,,A1
ここ,,A1
待つ,,A1
低い,,A1
もらう,,A1
食べる,,A1
早い,,A1
兄,,A1
名前,,A1
夫,,A1
一,,A1
結婚,,A1
親,,A1
古い,,A1
美しい,,A1
足,,A1
次,,A1
起こす,,A1
見せる,,A1
娘,,A1
とても,,A1
少し,,A1
質問,,A1
楽しむ,,A1
色,,A1
みんな,,A1
取る,,A1
勉強,,A1
出来る,,A1
短い,,A1
落ちる,,A1
息子,,A1
白い,,A1
誰,,A1
いつも,,A1
飛行機,,A1
勝つ,,A1
病気,,A1
冬,,A1
年,,A1
重い,,A1
胸,,A1
読む,,A1
払う,,A1
軽い,,A1
見つける,,A1
いつ,,A1
友達,,A1
忘れる,,A1
酒,,A1
どちら,,A1
姉,,A1
覚える,,A1
狭い,,A1
好き,,A1
建てる,,A1
どれ,,A1
赤い,,A1
今日,,A1
着る,,A1
笑う,,A1
一番,,A1
授業,,A1
週,,A1
漢字,,A1
自転車,,A1
電車,,A1
探す,,A1
紙,,A1
歌う,,A1
遅い,,A1
首,,A1
速い,,A1
一緒に,,A1
日記,,A1
今月,,A1
遊ぶ,,A1
遠い,,A1
弱い,,A1
耳,,A1
座る,,A1
右,,A1
浴びる,,A1
肩,,A1
飲む,,A1
寝る,,A1
消す,,A1
元気,,A1
負ける,,A1
全部,,A1
去年,,A1
引く,,A1
図書館,,A1
上げる,,A1
緑,,A1
腕,,A1
ドア,,A1
閉じる,,A1
時,,A1
米,,A1
切る,,A1
線,,A1
決まる,,A1
楽しい,,A1
服,,A1
後ろ,,A1
嬉しい,,A1
腰,,A1
日曜日,,A1
開ける,,A1
昼,,A1
お母さん,,A1
留学生,,A1
大学生,,A1
終わり,,A1
背,,A1
手伝う,,A1
鼻,,A1
熱い,,A1
載せる,,A1
悲しい,,A1
愛する,,A1
しゃべる,,A1
甘い,,A1
テーブル,,A1
食べ物,,A1
始まる,,A1
ゲーム,,A1
十,,A1
天気,,A1
暑い,,A1
太い,,A1
晩,,A1
土曜日,,A1
神,,A1
痛い,,A1
お父さん,,A1
多分,,A1
時計,,A1
泊まる,,A1
どうして,,A1
掛ける,,A1
曲がる,,A1
おなか,,A1
ミーティング,,A1
閉める,,A1
嫌い,,A1
金曜日,,A1
要る,,A1
無い,,A1
黄色い,,A1
風邪,,A1
優しい,,A1
晴れる,,A1
大好き,,A1
茶色,,A1
汚い,,A1
空く,,A1
上る,,A1
ご飯,,A1
日,,A1
髪の毛,,A1
つける,,A1
月曜日,,A1
入る,,A1
片仮名,,A1
今週,,A1
開く,,A1
水,,A1
あれ,,A1
二,,A1
閉まる,,A1
締める,,A1
まずい,,A1
平仮名,,A1
曇る,,A1
触る,,A1
駄目,,A1
書き直す,,A1
飲み物,,A1
木曜日,,A1
曜日,,A1
そば,,A1
こっち,,A1
火曜日,,A1
渇く,,A1
三,,A1
水曜日,,A1
二つ,,A1
今晩,,A1
千,,A1
六つ,,A1
六日,,A1
お姉さん,,A1
直る,,A1
易しい,,A1
辺,,A1
よう,,A1
お兄さん,,A1
辛い,,A1
八,,A1
三日,,A1
あそこ,,A1
来る,,A1
前,,A1
五日,,A1
一杯,,A1
九,,A1
酸っぱい,,A1
違う,,A1
細い,,A1
三つ,,A1
八日,,A1
高校生,,A1
上手,,A1
強い,,A1
七,,A1
二十日,,A1
左,,A1
二日,,A1
四つ,,A1
暖かい,,A1
有る,,A1
良い,,A1
五つ,,A1
妹,,A1
上,,A1
動く,,A1
駅,,A1
おいしい,,A1
大きい,,A1
弟,,A1
男,,A1
大人,,A1
お願い,,A1
女,,A1
金,,A1
彼,,A1
昨日,,A1
奇麗,,A1
口,,A1
五,,A1
九日,,A1
九つ,,A1
答える,,A1
先,,A1
寒い,,A1
四,,A1
下,,A1
大丈夫,,A1
出す,,A1
小さい,,A1
父,,A1
一日,,A1
月,,A1
妻,,A1
冷たい,,A1
手,,A1
十日,,A1
時々,,A1
夏,,A1
七つ,,A1
何,,A1
七日,,A1
母,,A1
人,,A1
一人,,A1
百,,A1
方,,A1
他,,A1
僕,,A1
欲しい,,A1
万,,A1
見える,,A1
店,,A1
道,,A1
目,,A1
八つ,,A1
止める,,A1
四日,,A1
夜,,A1
来年,,A1
六,,A1
悪い,,A1
お手洗い,,A1
ご主人,,A1
本当に,,A1
自分,,A1
ため,,A1
場合,,A1
休む,,A1
見つかる,,A1
問題,,A1
開発,,A1
事件,,A1
必要,,A1
企業,,A1
行う,,A1
現在,,A1
利用,,A1
首相,,A1
政府,,A1
発表,,A1
受ける,,A1
より,,A1
昨年,,A1
情報,,A1
示す,,A1
建設,,A1
販売,,A1
治る,,A1
機能,,A1
研究,,A1
一方,,A1
ドル,,A1
システム,,A1
頃,,A1
対する,,A1
方法,,A1
以上,,A1
最近,,A1
今後,,A1
世界,,A1
用いる,,A1
語る,,A1
コンピューター,,A1
中心,,A1
意味,,A1
計画,,A1
影響,,A1
増える,,A1
選ぶ,,A1
経済,,A1
導入,,A1
生活,,A1
進める,,A1
関係,,A1
続ける,,A1
ロボット,,A1
ほとんど,,A1
国内,,A1
分野,,A1
会社,,A1
関する,,A1
状態,,A1
大統領,,A1
対象,,A1
処理,,A1
女性,,A1
パソコン,,A1
解決,,A1
実現,,A1
多く,,A1
動き,,A1
話,,A1
価格,,A1
上がる,,A1
集める,,A1
声,,A1
初めて,,A1
明らか,,A1
一部,,A1
調査,,A1
党,,A1
変わる,,A1
社長,,A1
全国,,A1
地域,,A1
重要,,A1
姿,,A1
先ず,,A1
昭和,,A1
社会,,A1
プログラム,,A1
期待,,A1
力,,A1
除く,,A1
一般,,A1
今回,,A1
普及,,A1
表現,,A1
作業,,A1
予定,,A1
工場,,A1
生産,,A1
政権,,A1
技術,,A1
まま,,A1
完成,,A1
変化,,A1
存在,,A1
参加,,A1
テレビ,,A1
土地,,A1
減る,,A1
検討,,A1
政治,,A1
実施,,A1
開始,,A1
備える,,A1
輸入,,A1
最大,,A1
競争,,A1
部分,,A1
消える,,A1
家族,,A1
内容,,A1
比べる,,A1
生まれる,,A1
与える,,A1
選挙,,A1
対立,,A1
理由,,A1
構成,,A1
管理,,A1
増加,,A1
改革,,A1
会談,,A1
会長,,A1
ソフト,,A1
提供,,A1
ただ,,A1
これら,,A1
広がる,,A1
特徴,,A1
調べる,,A1
強調,,A1
制度,,A1
方針,,A1
従来,,A1
いずれ,,A1
事故,,A1
電話,,A1
外国,,A1
目的,,A1
自由,,A1
資金,,A1
銀行,,A1
事実,,A1
決定,,A1
方向,,A1
住宅,,A1
代表,,A1
激しい,,A1
株,,A1
交渉,,A1
結果,,A1
全体,,A1
命令,,A1
十分,,A1
あまり,,A1
経営,,A1
原因,,A1
写真,,A1
立場,,A1
対策,,A1
繰り返す,,A1
評価,,A1
なお,,A1
計算,,A1
投資,,A1
可能,,A1
加える,,A1
種類,,A1
強化,,A1
意見,,A1
伴う,,A1
新聞,,A1
文章,,A1
目立つ,,A1
設計,,A1
構造,,A1
国会,,A1
ほぼ,,A1
相手,,A1
発生,,A1
採用,,A1
残る,,A1
段階,,A1
報告,,A1
商品,,A1
都市,,A1
病院,,A1
規模,,A1
業者,,A1
経験,,A1
能力,,A1
最初,,A1
国際,,A1
議員,,A1
記者,,A1
場所,,A1
運動,,A1
サービス,,A1
集まる,,A1
政策,,A1
拡大,,A1
進む,,A1
達する,,A1
会議,,A1
装置,,A1
主張,,A1
記録,,A1
年度,,A1
産業,,A1
背景,,A1
材料,,A1
要求,,A1
市民,,A1
世紀,,A1
大幅,,A1
加工,,A1
実行,,A1
判断,,A1
組織,,A1
輸出,,A1
警察,,A1
伝える,,A1
公開,,A1
向かう,,A1
直す,,A1
具体的,,A1
願う,,A1
グループ,,A1
個人,,A1
基づく,,A1
全く,,A1
見方,,A1
姿勢,,A1
協力,,A1
担当,,A1
提案,,A1
最後,,A1
招く,,A1
ホテル,,A1
再び,,A1
上昇,,A1
機械,,A1
注目,,A1
過去,,A1
作品,,A1
直接,,A1
批判,,A1
文化,,A1
施設,,A1
成功,,A1
実際,,A1
当然,,A1
年間,,A1
簡単,,A1
迫る,,A1
まとめる,,A1
占める,,A1
残す,,A1
言語,,A1
教育,,A1
取引,,A1
自動車,,A1
反対,,A1
若者,,A1
分,,A1
課題,,A1
通常,,A1
同様,,A1
程度,,A1
当たる,,A1
訴える,,A1
事情,,A1
発言,,A1
傾向,,A1
開催,,A1
文字,,A1
子,,A1
述べる,,A1
活動,,A1
期間,,A1
一定,,A1
住民,,A1
届く,,A1
やはり,,A1
効果,,A1
状況,,A1
確認,,A1
位置,,A1
はっきり,,A1
つまり,,A1
通過,,A1
深い,,A1
候補,,A1
選手,,A1
音,,A1
大会,,A1
基本,,A1
契約,,A1
発見,,A1
当時,,A1
自宅,,A1
空気,,A1
設ける,,A1
歴史,,A1
各国,,A1
特に,,A1
実験,,A1
訪れる,,A1
建物,,A1
ビル,,A1
彼ら,,A1
少年,,A1
諸国,,A1
もちろん,,A1
事務所,,A1
責任,,A1
かつて,,A1
限る,,A1
海外,,A1
条件,,A1
家庭,,A1
教授,,A1
人口,,A1
海,,A1
基準,,A1
攻撃,,A1
時代,,A1
時期,,A1
製造,,A1
大型,,A1
周辺,,A1
異なる,,A1
逮捕,,A1
関連,,A1
貿易,,A1
社員,,A1
結合,,A1
自然,,A1
スポーツ,,A1
患者,,A1
なぜ,,A1
映画,,A1
並ぶ,,A1
生徒,,A1
