name,definition,difficulty
爱,,A1
爱好,,A1
八,,A1
爸,,A1
爸爸,,A1
吧,,A1
白,,A1
白天,,A1
百,,A1
班,,A1
半,,A1
半年,,A1
半天,,A1
帮,,A1
帮忙,,A1
包,,A1
包子,,A1
杯,,A1
杯子,,A1
北,,A1
北边,,A1
北京,,A1
本,,A1
本子,,A1
比,,A1
别,,A1
别的,,A1
别人,,A1
病,,A1
病人,,A1
不,,A1
不大,,A1
不对,,A1
不客气,,A1
不用,,A1
菜,,A1
茶,,A1
差,,A1
常,,A1
常常,,A1
唱,,A1
唱歌,,A1
车,,A1
车票,,A1
车上,,A1
车站,,A1
吃,,A1
吃饭,,A1
出,,A1
出来,,A1
出去,,A1
穿,,A1
床,,A1
次,,A1
从,,A1
错,,A1
打,,A1
打车,,A1
打电话,,A1
打开,,A1
打球,,A1
大,,A1
大学,,A1
大学生,,A1
到,,A1
地,,A1
地点,,A1
地方,,A1
地上,,A1
地图,,A1
的,,A1
得到,,A1
等,,A1
弟,,A1
弟弟,,A1
第,,A1
第二,,A1
点,,A1
电,,A1
电话,,A1
电脑,,A1
电视,,A1
电视机,,A1
电影,,A1
电影院,,A1
东,,A1
东边,,A1
东西,,A1
动,,A1
动作,,A1
都,,A1
读,,A1
读书,,A1
对,,A1
对不起,,A1
多,,A1
多少,,A1
饿,,A1
儿子,,A1
二,,A1
饭,,A1
饭店,,A1
房间,,A1
房子,,A1
放,,A1
放假,,A1
放学,,A1
飞,,A1
飞机,,A1
非常,,A1
分,,A1
风,,A1
干,,A1
干净,,A1
干什么,,A1
高,,A1
高兴,,A1
告诉,,A1
哥,,A1
哥哥,,A1
歌,,A1
个,,A1
给,,A1
跟,,A1
工人,,A1
工作,,A1
关,,A1
关上,,A1
贵,,A1
国,,A1
国家,,A1
国外,,A1
过,,A1
还,,A1
还是,,A1
还有,,A1
孩子,,A1
汉语,,A1
汉字,,A1
好,,A1
好吃,,A1
好看,,A1
好听,,A1
好玩儿,,A1
号,,A1
喝,,A1
和,,A1
很,,A1
后,,A1
后边,,A1
后天,,A1
花,,A1
话,,A1
坏,,A1
回,,A1
回答,,A1
回到,,A1
回家,,A1
回来,,A1
回去,,A1
会,,A1
火车,,A1
机场,,A1
机票,,A1
鸡蛋,,A1
几,,A1
记,,A1
记得,,A1
记住,,A1
家,,A1
家里,,A1
家人,,A1
间,,A1
见,,A1
见面,,A1
叫,,A1
教,,A1
教学楼,,A1
介绍,,A1
姐,,A1
姐姐,,A1
今年,,A1
今天,,A1
进,,A1
进来,,A1
进去,,A1
九,,A1
就,,A1
觉得,,A1
开,,A1
开车,,A1
开会,,A1
开玩笑,,A1
看,,A1
看病,,A1
看到,,A1
看见,,A1
考,,A1
考试,,A1
渴,,A1
课,,A1
课本,,A1
课文,,A1
口,,A1
块,,A1
快,,A1
来,,A1
来到,,A1
老,,A1
老人,,A1
老师,,A1
了,,A1
累,,A1
冷,,A1
里,,A1
里边,,A1
两,,A1
零,,A1
六,,A1
楼,,A1
楼上,,A1
楼下,,A1
路,,A1
路口,,A1
路上,,A1
妈,,A1
妈妈,,A1
马路,,A1
马上,,A1
吗,,A1
买,,A1
慢,,A1
忙,,A1
毛,,A1
没,,A1
没关系,,A1
没什么,,A1
没事儿,,A1
没有,,A1
妹,,A1
妹妹,,A1
门,,A1
门口,,A1
门票,,A1
们,,A1
米饭,,A1
面包,,A1
面条儿,,A1
名字,,A1
明白,,A1
明年,,A1
明天,,A1
拿,,A1
哪,,A1
哪儿,,A1
哪里,,A1
哪些,,A1
那,,A1
那边,,A1
那儿,,A1
那里,,A1
那些,,A1
奶,,A1
奶奶,,A1
男,,A1
男孩儿,,A1
男朋友,,A1
男人,,A1
男生,,A1
南,,A1
南边,,A1
难,,A1
呢,,A1
能,,A1
你,,A1
你们,,A1
年,,A1
您,,A1
牛奶,,A1
女,,A1
女儿,,A1
女孩儿,,A1
女朋友,,A1
女人,,A1
女生,,A1
旁边,,A1
跑,,A1
朋友,,A1
票,,A1
七,,A1
起,,A1
起床,,A1
起来,,A1
汽车,,A1
前,,A1
前边,,A1
前天,,A1
钱,,A1
钱包,,A1
请,,A1
请假,,A1
请进,,A1
请问,,A1
请坐,,A1
球,,A1
去,,A1
去年,,A1
热,,A1
人,,A1
认识,,A1
认真,,A1
日,,A1
日期,,A1
肉,,A1
三,,A1
山,,A1
商场,,A1
商店,,A1
上,,A1
上班,,A1
上边,,A1
上车,,A1
上次,,A1
上课,,A1
上网,,A1
上午,,A1
上学,,A1
少,,A1
身上,,A1
身体,,A1
什么,,A1
生病,,A1
生气,,A1
生日,,A1
十,,A1
时候,,A1
时间,,A1
事,,A1
试,,A1
是,,A1
是不是,,A1
手,,A1
手机,,A1
书,,A1
书包,,A1
书店,,A1
树,,A1
谁,,A1
水,,A1
水果,,A1
睡,,A1
睡觉,,A1
说,,A1
说话,,A1
四,,A1
送,,A1
岁,,A1
他,,A1
他们,,A1
她,,A1
她们,,A1
太,,A1
天,,A1
天气,,A1
听,,A1
听到,,A1
听见,,A1
听写,,A1
同学,,A1
图书馆,,A1
外,,A1
外边,,A1
外国,,A1
外语,,A1
玩儿,,A1
晚,,A1
晚饭,,A1
晚上,,A1
网上,,A1
网友,,A1
忘,,A1
忘记,,A1
问,,A1
我,,A1
我们,,A1
五,,A1
午饭,,A1
洗,,A1
洗手间,,A1
喜欢,,A1
西,,A1
西边,,A1
下,,A1
下班,,A1
下边,,A1
下车,,A1
下次,,A1
下课,,A1
下午,,A1
下雨,,A1
先,,A1
先生,,A1
现在,,A1
想,,A1
小,,A1
小孩儿,,A1
小姐,,A1
小朋友,,A1
小时,,A1
小学,,A1
小学生,,A1
笑,,A1
写,,A1
谢谢,,A1
新,,A1
新年,,A1
星期,,A1
星期日,,A1
星期天,,A1
行,,A1
休息,,A1
学,,A1
学生,,A1
学习,,A1
学校,,A1
学院,,A1
要,,A1
也,,A1
页,,A1
爷爷,,A1
一,,A1
一半,,A1
一边,,A1
一点儿,,A1
一会儿,,A1
一块儿,,A1
一起,,A1
一下儿,,A1
一些,,A1
一样,,A1
衣服,,A1
医生,,A1
医院,,A1
用,,A1
有,,A1
有的,,A1
有名,,A1
有时,,A1
有时候,,A1
有些,,A1
有一些,,A1
有用,,A1
右,,A1
右边,,A1
雨,,A1
元,,A1
远,,A1
月,,A1
再,,A1
再见,,A1
在,,A1
在家,,A1
早,,A1
早饭,,A1
早上,,A1
怎么,,A1
站,,A1
找,,A1
找到,,A1
