name,definition,difficulty
愛,親慕的情緒或親密的感情。,A1
了,置於動詞後，表示動作的結束。,A1
吧,助詞，用於句末。表商量、請求、指使、同意、推測或感嘆。,A1
八,自然數之一，介於七與九之間。大寫作「捌」，阿拉伯數字作「8」。,A1
八,表示數量是八的。,A1
爸爸,子女對父親的稱呼。,A1
百,數目字，十的十倍。大寫作「佰」。,A1
半,二分之一的。,A1
半,事物二分之一的部分。,A1
本,書籍、字畫、底本、古代奏達皇帝的文書,A1
本,量詞：計算書籍、簿冊、戲曲分段、影片膠卷的單位,A1
不,否定詞。有不是、未、非等義。,A1
不,表示否定。,A1
茶,用茶葉沏成或煮成的飲料。,A1
車子,車輛，多指小型車。,A1
吃,口中咀嚼、吞嚥食物或吸飲液體。,A1
吃飯,進餐。,A1
打,敲擊、捶擊、毆打。,A1
打,搭乘、乘坐。,A1
打,擊、敲擊。,A1
大,在體積、面積、數量、強度等超過一般或比較對象，與「小」相對。,A1
帶,繫衣服或紮東西的長條物，或泛指長條狀物體。,A1
帶,隨身攜帶、佩掛或率領。,A1
大家,眾人。,A1
到,抵達、到達。,A1
大學,高等教育機構。依學科領域分為不同學院，每學院又分若干系所或學程。,A1
的,結構助詞：用於形容詞、名詞、代名詞、片語或子句後，表修飾、所屬或狀態。,A1
點,細小的痕跡或液體，或幾何學上只有位置的點。,A1
點,指點心食品。,A1
點,計時單位，指一點鐘；或指規定的時間。,A1
電話,利用電能將聲音轉換成信號進行遠距離通訊的設備。,A1
弟弟,稱謂。稱同胞手足中，後出生的男性親屬。,A1
東西,物品。,A1
都,皆，概括全部的意思。,A1
對,回答、應答。,A1
對,正確、正確的。,A1
對不起,表示歉意或辜負他人的期望。也作「對不住」。,A1
多,豐富、數量大、不少，或超過預期,A1
多少,若干。指數量。,A1
二,自然數，介於一與三之間。大寫作「貳」，阿拉伯數字作「2」。,A1
兒子,稱謂。指父母所生的男孩。,A1
分,量詞。指重量、地積、貨幣、時間、角度的計算單位，或指程度深淺。,A1
分,成績、競賽勝負的計數，或數學上的分數。,A1
高,上下距離遠的；物體直立時上下的長度。與「低」相對。,A1
個,量詞。計算單獨的人或物的單位。,A1
哥哥,稱謂：(1)兄長。(2)父對子的自稱。(3)對子姪的暱稱。(4)對平輩的敬稱。,A1
給,給予、交付、供應或賜予。,A1
工作,作事、職業。,A1
國,有土地、人民、主權的團體。,A1
孩子,未成年的人。,A1
和,與、跟、連同,A1
好,美、善，理想的。,A1
好,很、非常，表示程度深。,A1
好,友愛、相善、親愛。,A1
號,名稱、別名、稱謂或稱呼。,A1
號,排定的次第或編號。,A1
號,樂團或軍隊所使用的管樂器。,A1
喝,飲用液體、飲料或流質食物。,A1
很,甚、非常，表示程度高。,A1
後,在時間上與「先」、「前」相對。,A1
後,在空間、位置上與「前」相對。,A1
話,語言。,A1
幾,詢問數量的多少。,A1
家,眷屬共同生活的場所。,A1
腳,人或動物的腿，支撐身體接觸地面的部分。,A1
叫,稱做、稱為,A1
姊姊,稱謂：(1)對年長於自己的同輩女性的稱呼。(2)尊稱年紀相仿的女性。亦作「姐姐」。,A1
姊姊,稱謂。對親戚中較自己年長的女性稱呼。亦作「姐姐」。,A1
今年,說話時的這一年。,A1
今天,說話時的這一天。,A1
久,時間長遠。,A1
九,介於八與十之間的自然數。大寫作「玖」，阿拉伯數字作「9」。,A1
就,即刻、馬上，表示動作或狀態發生得早或快。,A1
就,僅、只。,A1
咖啡,植物名。茜草科常綠灌木。種子經焙乾研磨後可沖泡為飲料，具提神作用。,A1
看,視、瞧。,A1
可能,表示可以實現。,A1
可能,或許、也許。,A1
可以,能夠。,A1
塊,成團的泥土。,A1
塊,量詞：(1)計算塊狀物。(2)計算貨幣單位，同「元」。,A1
來,空間從別處移動至此處。與「去」、「往」相對而言。,A1
老,年紀大的人或事物（包含年長、年久、退休、陳舊等義）,A1
老師,對傳授道業、學問或技藝者的尊稱。,A1
老師,學生對先生的尊稱。,A1
冷,寒、涼、溫度低。,A1
兩,量詞：(1)重量單位。公制為十分之一公斤；臺制為十六分之一臺斤。(2)計算車輛單位。,A1
兩,數目字，表一對、一雙之意。,A1
六,介於五與七之間的自然數。大寫作「陸」，阿拉伯數字作「6」。,A1
路,道路，供人馬舟車等行走的途徑。,A1
嗎,表疑問語氣。,A1
買,以金錢購進物產。,A1
媽媽,稱謂：(1)母親。(2)年長婦女。(3)老妻。(4)鴇母。(5)婢女對女主人稱呼。(6)婆婆。,A1
沒,無。,A1
沒關係,不要緊；沒影響。,A1
妹妹,稱謂：(1)比自己年幼的同胞姊妹。(2)同輩中比自己年幼的女性。(3)對妻子的暱稱。,A1
沒有,無。,A1
們,常附於名詞或人稱代名詞下，為表示多數的詞綴。,A1
名字,人的稱號，不包含姓氏。,A1
明天,今天的下一天。也作「明日」。,A1
拿,用手取物或持物。,A1
哪,表疑問。,A1
哪,表示疑問。,A1
那,指示詞。指代距離說話者較遠的人、事、物，相對於「這」。,A1
哪裡,疑問詞，指什麼地方。,A1
那裡,指代處所。何處、何方。亦作「那兒」。,A1
那裡,彼處。,A1
難,不容易、艱困。,A1
難,不容易、艱難。,A1
呢,表示疑問的語氣。,A1
你,第二人稱，亦指對方。,A1
妳,用於女性的第二人稱。,A1
年,年節。,A1
年,歲數、年齡。,A1
年,量詞。計算時間的單位。一年有十二個月。,A1
你們,第二人稱的多數代名詞。,A1
您,第二人稱。你的敬稱。多用於長輩。亦泛指你們。,A1
女兒,稱謂。指父母所生的女性孩兒。,A1
朋友,友人的通稱。,A1
七,介於六與八之間的自然數。大寫作「柒」，阿拉伯數字作「7」。,A1
千,數目字，十的百倍。大寫作「仟」。,A1
前,在正面的、臉所向的一面。與「後」相對。,A1
錢,貨幣的通稱。,A1
請,邀約、延聘或迎置神明。,A1
請,對人有所要求、懇求或請求指示。,A1
請問,對人有所詢問的敬辭。,A1
去,往、到，或離開某處。,A1
去年,指過去的一年。亦作「去歲」。,A1
熱,溫度高，與「冷」相對。,A1
人,具有高度智慧和靈性，且能製造並使用工具以進行勞動的高等動物。,A1
日,太陽。,A1
日,白天。,A1
容易,不難，從容便易。,A1
三,介於二與四之間的自然數。大寫作「參」，阿拉伯數字作「3」。,A1
上,表位置或方向，與「下」相對。,A1
上午,夜半一時至正午十二時。一般則以清晨至正午十二時為上午。,A1
少,不多；短缺、不夠。,A1
誰,甚麼人。表疑問。,A1
什麼,疑問代名詞，專指事物。亦作「甚麼」。,A1
什麼,疑問詞。指不明確的人、事、物。亦作「甚麼」。,A1
十,數目字，為九加一的總和。大寫為「拾」，阿拉伯數字作「10」。,A1
是,對、正確。,A1
是,表示肯定、判斷或存在的事實。,A1
時候,季節、節候。,A1
時間,泛指時刻的長短，如地球自轉一周是一日，公轉一周是一年，日與年等都是時間的單位。,A1
手機,手提式電話的簡稱。,A1
書,有文字或圖畫的冊子。,A1
水,無色無臭的液體。由氫氣與氧氣化合而成。,A1
睡覺,合上眼進入睡眠狀態。,A1
說,訴說、告訴。,A1
四,介於三與五之間的自然數。大寫作「肆」，數字作「4」。,A1
歲,年齡。,A1
歲,量詞：(1)計算時間的單位，即一年。(2)計算年齡的單位。,A1
她,女性第三人稱。,A1
他,第三人稱代名詞。指稱你我以外的第三人。,A1
太,形容程度極高（多用於肯定）。,A1
太太,明時對巡撫以上官員妻子的尊稱。,A1
太太,稱謂：(1)丈夫對妻子的稱呼。(2)對已婚婦女的尊稱。(3)僕人對女主人的稱呼。,A1
台灣,位於亞洲東部的一個島嶼。,A1
臺灣人,臺灣的居民或出身於臺灣的人。,A1
他們,第三人稱的多數，指自己和對方以外的若干人。,A1
天,一晝夜的時間；白天。,A1
天,計算時間的單位（一天二十四小時）。,A1
聽,用耳朵收受聲音,A1
同學,同師受業。,A1
外,不屬於某一定的範圍內，相對於「內」而言。,A1
外,指外國或非自己所屬的地區、領域。,A1
晚安,晚上向人問好的用語。多用於道別時的客套話。,A1
晚上,日落以後的時段。亦作「晚晌」。,A1
位,量詞。計算人數的單位。多含敬意。,A1
問,向人請教。,A1
問題,事態的嚴重性足以引人研究討論，或尚待解決者。,A1
我,自稱。,A1
我們,稱包括自己在內的若干人。亦作「我每」。,A1
五,介於四與六之間的自然數。大寫作「伍」，阿拉伯數字作「5」。,A1
想,欲、要、打算、希望。,A1
先生,對一般男子的尊稱。,A1
先生,對老師的尊稱。,A1
現在,現今、目前。亦作「現今」、「現下」、「現時」。,A1
小,與「大」相對：1.體積、數量、力量小。2.年輕、幼稚。3.排行末位或地位低。4.自謙之詞。,A1
小孩,幼童。,A1
小姐,社交場合泛稱年輕女性，多用於未婚女子或女子姓名之後的稱呼。,A1
小時,量詞。計算時間的單位。一小時有六十分鐘。,A1
下午,午後的時間。通常指從中午十二點以後到黃昏以前的一段時間。,A1
寫,拿筆記錄文字。,A1
謝謝,表示感激、謝意。,A1
喜歡,快樂、高興。,A1
新,沒有使用過的。與「舊」相對。,A1
姓名,人的姓氏與名字。,A1
星期天,一星期的第一天，通常訂為休息日。,A1
星期一,一週的第一天。,A1
學,覺悟、領會。,A1
學,研習、學習。,A1
學,學校、求學的地方。,A1
學生,在學讀書的人。,A1
學校,講學研習的教育機構。,A1
要,需要,A1
要,表示想、希望做某事,A1
也,表示判斷或肯定。,A1
也,表示同樣、並列或多項同時存在。,A1
一,自然數的開始，序數的第一位。,A1
一,單個，表示數量為一。,A1
英文,英國語文。,A1
一起,一同、一塊兒。如：「她們整天在一起。」也作「一起兒」。,A1
醫生,替人治病的人。,A1
一月,每年的第一個月，即正月、元月。,A1
用,憑藉、以。,A1
有,表事實、狀況的正面存在，與「無」相對。,A1
元,量詞。計算錢幣的單位。一元等於十角。,A1
月,月亮、月球。,A1
再見,再相見。,A1
早安,早晨見面時的問候語。,A1
早上,早晨。,A1
怎麼,為何、為什麼。,A1
怎麼,為什麼。,A1
找,探訪、尋求。,A1
這,指稱較近的人、事、時間或地方。,A1
這,指示形容詞。,A1
這裡,這個地方。表示比較靠近說話者的地方。,A1
知道,明白瞭解。,A1
中文,漢族的語言及文字。,A1
中午,白天十二點左右的時間。,A1
字,文字，記錄語言的符號。,A1
走,步行、奔跑或疾行。,A1
走,往、去或離開。,A1
做,進行某事。,A1
坐,彎曲下肢，將臀部附著在物體上休息或停留。,A1
昨天,前一日。,A1
矮,身材短小。,A1
矮,低的、不高的。,A1
白,像雪或乳汁般素淨的顏色；白色的。,A1
飽,吃足的。,A1
包子,用麵皮包餡，蒸熟可吃的食品。,A1
杯,一種盛酒、水、茶等液體的器皿。,A1
